"RangeDiscretizer";;;;;;;;
"UniformDensityDiscretizer";;;;;;;;
"------------------------------------------------------------";;;;;;;;
"Glass";;;;;;;;
"ranges";"folds";"TP";"FP";"Accuracy";"Precision";"Recall";"F";
5;2;0,53846157;0,14849189;0,7890857;0,60842854;0,53846157;0,56668466;
5;3;0,5144231;0,13141634;0,7904955;0,62568295;0,5144231;0,556421;
5;5;0,5625;0,113048725;0,8162444;0,6631526;0,5625;0,604995;
5;10;0,6057692;0,10879196;0,82960427;0,6817318;0,6057692;0,6396647;
6;2;0,5188679;0,11374573;0,81076443;0,6043725;0,5188679;0,55403733;
6;3;0,5566038;0,1012178;0,82533824;0,66786116;0,5566038;0,60262513;
6;5;0,5424528;0,101570874;0,82151127;0,65303224;0,5424528;0,5917498;
6;10;0,5424528;0,11154566;0,81870776;0,6362996;0,5424528;0,58217835;
7;2;0,5;0,08833793;0,811699;0,6758396;0,5;0,57013786;
7;3;0,5235849;0,09670915;0,823536;0,66611373;0,5235849;0,5802398;
7;5;0,5235849;0,110979035;0,8074715;0,644405;0,5235849;0,57363194;
7;10;0,5566038;0,10229604;0,8229129;0,677486;0,5566038;0,6069304;
8;2;0,5233645;0,09655742;0,8141541;0,68754953;0,5233645;0,5821681;
8;3;0,50000006;0,09379869;0,8050267;0,6751904;0,50000006;0,5723593;
8;5;0,5233645;0,10351466;0,812582;0,65209657;0,5233645;0,57953626;
8;10;0,54672897;0,11290078;0,81153375;0,6411046;0,54672897;0,5885087;
9;2;0,39252338;0,1094308;0,77443445;0,58489096;0,39252338;0,46583924;
9;3;0,5233645;0,0648842;0,83891594;0,7221477;0,5233645;0,60494447;
9;5;0,5186916;0,10315555;0,8139139;0,66455275;0,5186916;0,5791544;
9;10;0,4906542;0,102632195;0,8025811;0,65545005;0,4906542;0,5589148;
10;2;0,43925235;0,0873113;0,80550706;0,66112787;0,43925235;0,5227493;
10;3;0,46261683;0,0837748;0,8108131;0,66366935;0,46261683;0,5408733;
10;5;0,52803737;0,06848819;0,8329985;0,7242043;0,52803737;0,60757774;
10;10;0,5373832;0,08117852;0,8262949;0,7100329;0,5373832;0,6092202;
11;2;0,31308413;0,10275899;0,7565508;0,51144856;0,31308413;0,3865035;
11;3;0,43457943;0,08052947;0,8010526;0,65504557;0,43457943;0,52023286;
11;5;0,4813084;0,08011656;0,8171019;0,6892016;0,4813084;0,5629637;
11;10;0,47196266;0,11282403;0,79164124;0,6325252;0,47196266;0,5360488;
12;2;0,35514018;0,07146685;0,78941387;0,6060725;0,35514018;0,44729543;
12;3;0,50934577;0,08064737;0,8199843;0,73624414;0,50934577;0,59731376;
12;5;0,49532712;0,06556094;0,8253558;0,72002965;0,49532712;0,5806663;
12;10;0,50934577;0,071945;0,82994145;0,7178609;0,50934577;0,5919466;
13;2;0,38317758;0,10246006;0,77602845;0,61369425;0,38317758;0,46653762;
13;3;0,45794392;0,059932213;0,8254214;0,6854065;0,45794392;0,54792255;
13;5;0,45327103;0,09072285;0,8025373;0,65666705;0,45327103;0,52966636;
13;10;0,5046729;0,072898924;0,82679707;0,71695715;0,5046729;0,58941746;
14;2;0,37850466;0,08483768;0,7903965;0,5795998;0,37850466;0,45718595;
14;3;0,42056075;0,07093325;0,80952483;0,6722852;0,42056075;0,51460475;
14;5;0,40186915;0,08474367;0,79552794;0,6277036;0,40186915;0,48430228;
14;10;0,36448598;0,09956949;0,77388847;0,58426595;0,36448598;0,44602;
15;2;0,38317758;0,10338814;0,77943486;0,607436;0,38317758;0,45993757;
15;3;0,37383178;0,08405192;0,78749233;0,6157267;0,37383178;0,46402416;
15;5;0,38317758;0,08659139;0,78474104;0,60152376;0,38317758;0,46070802;
15;10;0,39719626;0,06387591;0,8040004;0,64967537;0,39719626;0,48709846;
16;2;0,37383178;0,11343483;0,77454364;0,564842;0,37383178;0,4388571;
16;3;0,42990655;0,07774336;0,8087824;0,65359306;0,42990655;0,5159859;
16;5;0,38785046;0,07212118;0,79618305;0,6175795;0,38785046;0,47254673;
16;10;0,41588786;0,07003228;0,8057254;0,63792205;0,41588786;0,4982187;
17;2;0,3411215;0,09443037;0,76583105;0,5458508;0,3411215;0,4187467;
17;3;0,39252338;0,08358134;0,78736126;0,601577;0,39252338;0,4726768;
17;5;0,38785046;0,08433807;0,7858984;0,6132666;0,38785046;0,47216156;
17;10;0,34579438;0,080000155;0,7735391;0,5874661;0,34579438;0,4315008;
18;2;0,3364486;0,11866429;0,7577082;0,50141937;0,3364486;0,40054172;
18;3;0,30373833;0,09244328;0,76268667;0,5734127;0,30373833;0,3933271;
18;5;0,3271028;0,10496127;0,75772995;0,5794654;0,3271028;0,40949562;
18;10;0,3084112;0,08315194;0,7670102;0,59525096;0,3084112;0,4040683;
19;2;0,36448598;0,10813787;0,77080965;0,5677063;0,36448598;0,43696764;
19;3;0,42990655;0,08426518;0,8069263;0,6375933;0,42990655;0,5083848;
19;5;0,36915886;0,09790152;0,7731243;0,59597677;0,36915886;0,45215905;
19;10;0,3411215;0,08653673;0,77367014;0,59526277;0,3411215;0,4325029;
20;2;0,38317758;0,11042482;0,77583194;0,54708284;0,38317758;0,44459805;
20;3;0,42990655;0,09718505;0,80249363;0,60896397;0,42990655;0,49840578;
20;5;0,39719626;0,09850256;0,7888243;0,6119854;0,39719626;0,4747768;
20;10;0,3317757;0,08457617;0,7741942;0,5969486;0,3317757;0,4244605;0,6396647
"iris";;;;;;;;
"ranges";"folds";"TP";"FP";"Accuracy";"Precision";"Recall";"F";
5;2;0,9037037;0,026218759;0,9524829;0,94545454;0,9037037;0,9228395;
5;3;0,8666667;0,025161257;0,94107;0,9435019;0,8666667;0,90172917;
5;5;0,8962963;0,025690008;0,9501784;0,9453033;0,8962963;0,9190236;
5;10;0,88148147;0,029518556;0,94337445;0,9375544;0,88148147;0,9062779;
6;2;0,8417266;0,023660446;0,9331814;0,9397009;0,8417266;0,8860033;
6;3;0,82733816;0,02388441;0,9284198;0,93745005;0,82733816;0,87657875;
6;5;0,79136693;0,027104497;0,9142384;0,9243682;0,79136693;0,84750634;
6;10;0,8201439;0,020440355;0,92810935;0,94480217;0,8201439;0,87551695;
7;2;0,8541667;0,024757864;0,9357639;0,9480699;0,8541667;0,89491916;
7;3;0,8541667;0,023667801;0,93595684;0,9457387;0,8541667;0,8974804;
7;5;0,8680556;0,02324263;0,940297;0,94900227;0,8680556;0,9062557;
7;10;0,8819444;0,019982994;0,94753087;0,95478034;0,8819444;0,91681224;
8;2;0,84;0,046666667;0,91555554;0,898988;0,84;0,86503863;
8;3;0,85333335;0,04;0,9244445;0,91252095;0,85333335;0,8816387;
8;5;0,8333333;0,046666667;0,91333336;0,8949791;0,8333333;0,86194795;
8;10;0,85333335;0,04;0,9244445;0,9113607;0,85333335;0,8805595;
9;2;0,86;0,043333333;0,9244445;0,9069565;0,86;0,8825;
9;3;0,8066667;0,04;0,90888894;0,9063439;0,8066667;0,85065293;
9;5;0,84;0,04;0,92;0,9107378;0,84;0,87366414;
9;10;0,84;0,036666665;0,9222223;0,9173401;0,84;0,8766613;
10;2;0,85333335;0,043333333;0,9222222;0,90615135;0,85333335;0,87847954;
10;3;0,79333335;0,046666667;0,9;0,8894463;0,79333335;0,8370643;
10;5;0,8333333;0,04;0,91777784;0,9099327;0,8333333;0,86964375;
10;10;0,84;0,036666665;0,9222222;0,91784513;0,84;0,8768853;
11;2;0,92;0,013333334;0,9644444;0,9710008;0,92;0,94436604;
11;3;0,8933333;0,02;0,95111114;0,95535713;0,8933333;0,9220644;
11;5;0,8933333;0,02;0,95111114;0,95546764;0,8933333;0,9224772;
11;10;0,9;0,02;0,9533333;0,9559961;0,9;0,926519;
12;2;0,9054054;0,013377014;0,95973337;0,97103035;0,9054054;0,93518746;
12;3;0,8918919;0,013377014;0,9552594;0,9690512;0,8918919;0,92724437;
12;5;0,8783784;0,01003276;0,9530223;0,9761591;0,8783784;0,9231924;
12;10;0,8851351;0,013377014;0,9530223;0,9686267;0,8851351;0,9229326;
13;2;0,9;0,01;0,96;0,97743326;0,9;0,936163;
13;3;0,84;0,02;0,93333334;0,9518982;0,84;0,8900568;
13;5;0,87333333;0,02;0,9444445;0,9540169;0,87333333;0,91085184;
13;10;0,8933333;0,02;0,95111114;0,95553356;0,8933333;0,9227246;
14;2;0,87333333;0,02;0,9444445;0,95475435;0,87333333;0,9107143;
14;3;0,82666665;0,026666667;0,9244445;0,93531746;0,82666665;0,8755234;
14;5;0,86;0,023333333;0,9377778;0,94588745;0,86;0,89962995;
14;10;0,87333333;0,023333333;0,9422222;0,9471146;0,87333333;0,90779096;
15;2;0,8333333;0,036666665;0,92;0,92035276;0,8333333;0,87227386;
15;3;0,79333335;0,033333335;0,9088889;0,9209461;0,79333335;0,84814817;
15;5;0,8066667;0,033333335;0,91333336;0,92002654;0,8066667;0,8580309;
15;10;0,79333335;0,033333335;0,9088889;0,9181972;0,79333335;0,8491582;
16;2;0,8066667;0,036666665;0,9111111;0,91639435;0,8066667;0,8557199;
16;3;0,79333335;0,033333335;0,9088889;0,9209461;0,79333335;0,84814817;
16;5;0,8066667;0,033333335;0,91333336;0,92002654;0,8066667;0,8580309;
16;10;0,79333335;0,033333335;0,9088889;0,9181972;0,79333335;0,8491582;
17;2;0,82;0,033333335;0,9177777;0,92411816;0,82;0,8666571;
17;3;0,79333335;0,033333335;0,9088889;0,9209461;0,79333335;0,84814817;
17;5;0,8066667;0,033333335;0,91333336;0,92002654;0,8066667;0,8580309;
17;10;0,79333335;0,033333335;0,9088889;0,9181972;0,79333335;0,8491582;
18;2;0,81333333;0,04;0,91111106;0,90841967;0,81333333;0,8570641;
18;3;0,86;0,033333335;0,93111116;0,92680794;0,86;0,89185625;
18;5;0,8466667;0,023333333;0,93333334;0,94718844;0,8466667;0,89286834;
18;10;0,84;0,026666667;0,92888886;0,9396126;0,84;0,88577616;
19;2;0,8066667;0,04;0,9088889;0,9073626;0,8066667;0,8527936;
19;3;0,8466667;0,026666667;0,93111116;0,9396868;0,8466667;0,8893346;
19;5;0,84;0,023333333;0,93111116;0,9469852;0,84;0,88871694;
19;10;0,82666665;0,03;0,9222222;0,9304255;0,82666665;0,8741796;
20;2;0,8066667;0,04;0,9088889;0,9073626;0,8066667;0,8527936;
20;3;0,8466667;0,03;0,928889;0,932324;0,8466667;0,8867568;
20;5;0,84;0,023333333;0,93111116;0,9469852;0,84;0,88871694;
20;10;0,82666665;0,03;0,9222222;0,9304255;0,82666665;0,8741796;0,94436604
"wine";;;;;;;;
"ranges";"folds";"TP";"FP";"Accuracy";"Precision";"Recall";"F";
5;2;0,752809;0,069760345;0,8670938;0,85976017;0,752809;0,80210286;
5;3;0,7977528;0,044839434;0,90054923;0,9095699;0,7977528;0,8482433;
5;5;0,78651685;0,054890987;0,89445776;0,9003457;0,78651685;0,83497655;
5;10;0,78651685;0,04932022;0,8985609;0,9102187;0,78651685;0,83992225;
6;2;0,7022472;0,030639222;0,87709886;0,9207376;0,7022472;0,79654187;
6;3;0,6966292;0,04555049;0,86699915;0,89098495;0,6966292;0,78180915;
6;5;0,71910113;0,044608053;0,87517357;0,90064096;0,71910113;0,79909587;
6;10;0,752809;0,05390664;0,8803813;0,89335704;0,752809;0,8142681;
7;2;0,6966292;0,037425715;0,87552077;0,9061037;0,6966292;0,78271013;
7;3;0,7247191;0,035540853;0,8824012;0,9040037;0,7247191;0,8010606;
7;5;0,747191;0,046682384;0,88306403;0,893426;0,747191;0,8137769;
7;10;0,74157304;0,04299649;0,8856205;0,90232044;0,74157304;0,8131786;
8;2;0,6853933;0,039731428;0,86886126;0,8965675;0,6853933;0,7626667;
8;3;0,7303371;0,030912517;0,8915225;0,9269436;0,7303371;0,81413716;
8;5;0,6853933;0,06253609;0,8527648;0,85850453;0,6853933;0,7618099;
8;10;0,69101125;0,06069314;0,8575622;0,86751425;0,69101125;0,7676757;
9;2;0,66853935;0,05742808;0,85456383;0,86590964;0,66853935;0,7414134;
9;3;0,7078652;0,042474896;0,87255394;0,8886097;0,7078652;0,7869992;
9;5;0,6853933;0,03577223;0,8706918;0,9027575;0,6853933;0,7749108;
9;10;0,6235955;0,06645337;0,83098733;0,8347968;0,6235955;0,7126147;
10;2;0,66292137;0,05673394;0,8481252;0,84102595;0,66292137;0,734565;
10;3;0,6797753;0,04272319;0,85901403;0,87334347;0,6797753;0,7608523;
10;5;0,7078652;0,038326234;0,8760573;0,88904625;0,7078652;0,7829445;
10;10;0,71348315;0,038326234;0,8782982;0,8893526;0,71348315;0,78625685;
11;2;0,60674155;0,04186459;0,84026635;0,8392819;0,60674155;0,6830319;
11;3;0,6741573;0,054849073;0,85393256;0,86768246;0,6741573;0,75841856;
11;5;0,71348315;0,038326234;0,8793081;0,8990244;0,71348315;0,79350734;
11;10;0,66292137;0,034829795;0,86295927;0,8843499;0,66292137;0,7468297;
12;2;0,64606744;0,049236394;0,8465156;0,8665693;0,64606744;0,74009;
12;3;0,6797753;0,022283072;0,8759627;0,932008;0,6797753;0,7854399;
12;5;0,6573034;0,04272319;0,8579409;0,8897561;0,6573034;0,75471926;
12;10;0,6011236;0,037383802;0,8430123;0,8706546;0,6011236;0,7064548;
13;2;0,64044946;0,087794006;0,8209506;0,80992633;0,64044946;0,71264;
13;3;0,64606744;0,062683634;0,83606863;0,8357693;0,64606744;0,72791326;
13;5;0,6292135;0,034598418;0,8523861;0,8900512;0,6292135;0,734696;
13;10;0,6179775;0,046682384;0,84083456;0,85728335;0,6179775;0,7160533;
14;2;0,66292137;0,06504817;0,8409923;0,8384065;0,66292137;0,74015266;
14;3;0,6797753;0,05688149;0,85181797;0,8510105;0,6797753;0,75503105;
14;5;0,6797753;0,047814284;0,85888773;0,857244;0,6797753;0,7550346;
14;10;0,6573034;0,045971334;0,8525439;0,85288644;0,6573034;0,736102;
15;2;0,5674157;0,09623399;0,7913458;0,7777668;0,5674157;0,65358037;
15;3;0,66853935;0,07240306;0,8389092;0,8290718;0,66853935;0,739538;
15;5;0,66853935;0,037425715;0,860813;0,88859427;0,66853935;0,7505591;
15;10;0,64606744;0,048567258;0,84695745;0,8522707;0,64606744;0,7281334;
16;2;0,6348315;0,07236115;0,8243909;0,8344228;0,6348315;0,71618956;
16;3;0,64606744;0,088778354;0,8247065;0,79931664;0,64606744;0,71266234;
16;5;0,66292137;0,041763842;0,8554791;0,87192905;0,66292137;0,74504304;
16;10;0,6573034;0,047814284;0,84951395;0,86409277;0,6573034;0,7447869;
17;2;0,60674155;0,09676046;0,79851025;0,7952329;0,60674155;0,6777863;
17;3;0,64606744;0,08331323;0,82435936;0,81680924;0,64606744;0,7190426;
17;5;0,64044946;0,04917756;0,84414846;0,8582541;0,64044946;0,732416;
17;10;0,6179775;0,052674;0,8344906;0,8417982;0,6179775;0,7114808;
18;2;0,57865167;0,099125005;0,789168;0,79029846;0,57865167;0,6586034;
18;3;0,64606744;0,07868489;0,8266317;0,8181113;0,64606744;0,72078425;
18;5;0,6235955;0,04687185;0,83969826;0,86679643;0,6235955;0,72495663;
18;10;0,6123595;0,047814284;0,83600557;0,8507717;0,6123595;0,7105508;
19;2;0,5168539;0,11711187;0,75422925;0,74171346;0,5168539;0,6014475;
19;3;0,60674155;0,10978686;0,79175603;0,77247876;0,60674155;0,67071617;
19;5;0,6292135;0,05593906;0,83780456;0,8572153;0,6292135;0,7252078;
19;10;0,6573034;0,040821407;0,8561419;0,87233263;0,6573034;0,7451221;
20;2;0,4775281;0,1282534;0,73254645;0,71854824;0,4775281;0,5606879;
20;3;0,66292137;0,09539719;0,8191832;0,8115438;0,66292137;0,7226478;
20;5;0,5730337;0,089174196;0,79601693;0,8063266;0,5730337;0,666112;
20;10;0,5898876;0,07269328;0,8117662;0,80705714;0,5898876;0,6815324;0,8482433
